,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,max_loading_percent
0,,,0,1,1.0,4.165875,48.919275,1557.117674694494,0.0,1.00408742467761,1.0,1,ol,True,100.0
1,,,0,38,1.0,1.19025,29.75625,1671.4444769155152,0.0,1.67347904112935,1.0,1,ol,True,100.0
2,,,1,2,1.0,1.547325,17.972775,573.1940259502273,0.0,0.83673952056468,1.0,1,ol,True,100.0
3,,,1,24,1.0,8.33175,10.23615,325.37452483955354,0.0,0.83673952056468,1.0,1,ol,True,100.0
4,,,2,3,1.0,1.547325,25.352325,493.4104095854602,0.0,0.83673952056468,1.0,1,ol,True,100.0
5,,,2,17,1.0,1.309275,15.830325,476.47310555271616,0.0,0.83673952056468,1.0,1,ol,True,100.0
6,,,3,4,1.0,0.9522,15.2352,299.0771317360829,0.0,1.00408742467761,1.0,1,ol,True,100.0
7,,,3,13,1.0,0.9522,15.354225,307.99150227963224,0.0,0.83673952056468,1.0,1,ol,True,100.0
8,,,4,5,1.0,0.23805,3.09465,96.72092039751114,0.0,2.00817484935522,1.0,1,ol,True,100.0
9,,,4,7,1.0,0.9522,13.3308,328.9402730569734,0.0,1.50613113701642,1.0,1,ol,True,100.0
10,,,5,6,1.0,0.71415,10.9503,251.83096785527093,0.0,1.50613113701642,1.0,1,ol,True,100.0
11,,,5,10,1.0,0.833175,9.76005,309.5515171247534,0.0,0.80326993974209,1.0,1,ol,True,100.0
12,,,6,7,1.0,0.4761,5.47515,173.83022559921358,0.0,1.50613113701642,1.0,1,ol,True,100.0
13,,,7,8,1.0,2.737575,43.206075,847.7566386915494,0.0,1.50613113701642,1.0,1,ol,True,100.0
14,,,8,38,1.0,1.19025,29.75625,2674.311163064824,0.0,1.50613113701642,1.0,1,ol,True,100.0
15,,,9,10,1.0,0.4761,5.118075,162.4644031561881,0.0,1.00408742467761,1.0,1,ol,True,100.0
16,,,9,12,1.0,0.4761,5.118075,162.4644031561881,0.0,1.00408742467761,1.0,1,ol,True,100.0
17,,,12,13,1.0,1.071225,12.021525,383.98651116339107,0.0,1.00408742467761,1.0,1,ol,True,100.0
18,,,13,14,1.0,2.14245,25.828425,815.6649047347714,0.0,1.00408742467761,1.0,1,ol,True,100.0
19,,,14,15,1.0,1.071225,11.18835,381.0893407367375,0.0,1.00408742467761,1.0,1,ol,True,100.0
20,,,15,16,1.0,0.833175,10.593225,299.0771317360829,0.0,1.00408742467761,1.0,1,ol,True,100.0
21,,,15,18,1.0,1.9044,23.209875,677.4921613097554,0.0,1.00408742467761,1.0,1,ol,True,100.0
22,,,15,20,1.0,0.9522,16.068375,567.8454036240977,0.0,1.00408742467761,1.0,1,ol,True,100.0
23,,,15,23,1.0,0.357075,7.022475,151.54429924034005,0.0,1.00408742467761,1.0,1,ol,True,100.0
24,,,16,17,1.0,0.833175,9.76005,293.9513686735419,0.0,1.00408742467761,1.0,1,ol,True,100.0
25,,,16,26,1.0,1.547325,20.591325,716.7153917013729,0.0,1.00408742467761,1.0,1,ol,True,100.0
26,,,20,21,1.0,0.9522,16.6635,571.6340111051062,0.0,1.50613113701642,1.0,1,ol,True,100.0
27,,,21,22,1.0,0.71415,11.4264,411.39820058480547,0.0,1.00408742467761,1.0,1,ol,True,100.0
28,,,22,23,1.0,2.61855,41.65875,804.5219415553347,0.0,1.00408742467761,1.0,1,ol,True,100.0
29,,,22,35,1.0,0.595125,32.3748,0.0,0.0,1.50613113701642,1.0,1,ol,True,100.0
30,,,24,25,1.0,3.8088,38.445075,1183.3826896561848,0.0,1.00408742467761,1.0,1,ol,True,100.0
31,,,25,26,1.0,1.66635,17.496675,533.9707955586099,0.0,1.00408742467761,1.0,1,ol,True,100.0
32,,,25,27,1.0,5.118075,56.41784999999999,1738.7479745193134,0.0,1.00408742467761,1.0,1,ol,True,100.0
33,,,25,28,1.0,6.784425,74.390625,2293.2218223280865,0.0,1.00408742467761,1.0,1,ol,True,100.0
34,,,27,28,1.0,1.66635,17.972775,554.919566335951,0.0,1.00408742467761,1.0,1,ol,True,100.0
