id,bType,vMag,zone,maxVm,minVm,vAng,P,Q,name,pos,capacity,orient,points
1,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 1,"[256, 544]",3,180,"[[256, 544], [224, 544], [192, 544]]"
2,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 2,"[320, 416]",3,180,"[[320, 416], [288, 416], [256, 416]]"
3,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 3,"[512, 544]",4,180,"[[512, 544], [480, 544], [448, 544], [416, 544]]"
4,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 4,"[480, 672]",4,180,"[[480, 672], [448, 672], [416, 672], [384, 672]]"
5,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 5,"[320, 768]",2,180,"[[320, 768], [288, 768]]"
6,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 6,"[576, 832]",4,180,"[[576, 832], [544, 832], [512, 832], [480, 832]]"
7,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 7,"[416, 896]",3,180,"[[416, 896], [384, 896], [352, 896]]"
8,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 8,"[320, 992]",4,180,"[[320, 992], [288, 992], [256, 992], [224, 992]]"
9,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 9,"[224, 1120]",3,180,"[[224, 1120], [192, 1120], [160, 1120]]"
10,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 10,"[704, 1216]",2,0,"[[704, 1216], [736, 1216]]"
11,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 11,"[736, 1088]",2,180,"[[736, 1088], [704, 1088]]"
12,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 12,"[800, 896]",3,180,"[[800, 896], [768, 896], [736, 896]]"
13,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 13,"[864, 1088]",2,0,"[[864, 1088], [896, 1088]]"
14,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 14,"[768, 672]",3,180,"[[768, 672], [736, 672], [704, 672]]"
15,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 15,"[832, 608]",3,180,"[[832, 608], [800, 608], [768, 608]]"
16,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 16,"[928, 512]",6,180,"[[928, 512], [896, 512], [864, 512], [832, 512], [800, 512], [768, 512]]"
17,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 17,"[736, 384]",3,180,"[[736, 384], [704, 384], [672, 384]]"
18,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 18,"[576, 384]",3,180,"[[576, 384], [544, 384], [512, 384]]"
19,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 19,"[1056, 768]",3,180,"[[1056, 768], [1024, 768], [992, 768]]"
20,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 20,"[992, 1024]",2,180,"[[992, 1024], [960, 1024]]"
21,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 21,"[1120, 608]",2,0,"[[1120, 608], [1152, 608]]"
22,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 22,"[1344, 608]",2,180,"[[1344, 608], [1312, 608]]"
23,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 23,"[1408, 768]",3,180,"[[1408, 768], [1376, 768], [1344, 768]]"
