id,bus,pMW,qMW,pos,orient,hand
14,1,97.6,44.2,"[96, 416]",90,"[96, 416]"
15,3,322.0,2.4,"[608, 672]",-90,"[608, 672]"
6,4,500.0,184.0,"[352, 608]",90,"[352, 608]"
16,7,233.8,84.0,"[384, 1024]",-90,"[384, 1024]"
17,8,522.0,176.6,"[320, 1120]",-90,"[320, 1120]"
18,9,6.5,-66.6,"[192, 1184]",-90,"[192, 1184]"
13,12,8.53,88.0,"[704, 800]",90,"[704, 800]"
11,15,320.0,153.0,"[832, 704]",-90,"[832, 704]"
12,16,329.0,32.3,"[960, 576]",-90,"[960, 576]"
5,18,158.0,30.0,"[640, 512]",-90,"[640, 512]"
19,20,680.0,103.0,"[928, 896]",90,"[928, 896]"
8,21,274.0,115.0,"[1120, 704]",-90,"[1120, 704]"
7,23,247.5,84.6,"[1376, 704]",90,"[1376, 704]"
20,24,308.6,-92.2,"[1152, 480]",-90,"[1152, 480]"
1,25,224.0,47.2,"[352, 288]",-90,"[352, 288]"
2,26,139.0,17.0,"[640, 96]",90,"[640, 96]"
4,27,281.0,75.5,"[832, 352]",-90,"[832, 352]"
3,28,206.0,27.6,"[992, 288]",-90,"[992, 288]"
21,29,283.5,26.9,"[1472, 160]",90,"[1472, 160]"
9,31,9.2,4.6,"[576, 1152]",-90,"[576, 1152]"
10,39,1104.0,250.0,"[96, 800]",-90,"[96, 800]"
