id,name,hvBus,lvBus,pos,orient,hands,sn_mva,vk_percent,vkr_percent,tap_step_percent
1,Trafo1,2,30,"[192, 256]",-90,"[[192, 224], [192, 288]]",900.0,16.29,0.0,2.5
6,Trafo 2,6,31,"[544, 960]",-90,"[[544, 928], [544, 992]]",1800.0,45.0,0.0,7.0
12,Trafo 3,10,32,"[704, 1312]",90,"[[704, 1344], [704, 1280]]",900.0,18.0,0.0,7.0
10,Trafo 4,12,11,"[736, 992]",90,"[[736, 1024], [736, 960]]",500.0,21.764708,0.8,0.6
11,Trafo 5,12,13,"[864, 992]",90,"[[864, 1024], [864, 960]]",500.0,21.764708,0.8,0.6
8,Trafo 6,19,20,"[992, 896]",-90,"[[992, 864], [992, 928]]",900.0,12.435968,0.63,6.0
7,Trafo 7,19,33,"[1120, 896]",-90,"[[1120, 864], [1120, 928]]",900.0,12.795519,0.63,7.0
9,Trafo 8,20,34,"[992, 1120]",-90,"[[992, 1088], [992, 1152]]",900.0,16.220237,0.81,0.9
5,Trafo 9,22,35,"[1344, 512]",90,"[[1344, 544], [1344, 480]]",900.0,12.87,0.0,2.5
2,Trafo 10,25,37,"[384, 128]",-90,"[[384, 96], [384, 160]]",900.0,20.886982,0.54,2.5
3,Trafo 11,29,38,"[1344, 128]",-90,"[[1344, 96], [1344, 160]]",1200.0,18.744599,0.96,2.5
