,name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,controllable
14,1,1,97.6,44.2,0.0,0.0,,1.0,True,,False
15,2,3,322.0,2.4,0.0,0.0,,1.0,True,,False
6,3,4,500.0,184.0,0.0,0.0,,1.0,True,,False
16,4,7,233.8,84.0,0.0,0.0,,1.0,True,,False
17,5,8,522.0,176.6,0.0,0.0,,1.0,True,,False
18,6,9,6.5,-66.6,0.0,0.0,,1.0,True,,False
13,7,12,8.53,88.0,0.0,0.0,,1.0,True,,False
11,8,15,320.0,153.0,0.0,0.0,,1.0,True,,False
12,9,16,329.0,32.3,0.0,0.0,,1.0,True,,False
5,10,18,158.0,30.0,0.0,0.0,,1.0,True,,False
19,11,20,680.0,103.0,0.0,0.0,,1.0,True,,False
8,12,21,274.0,115.0,0.0,0.0,,1.0,True,,False
7,13,23,247.5,84.6,0.0,0.0,,1.0,True,,False
20,14,24,308.6,-92.2,0.0,0.0,,1.0,True,,False
1,15,25,224.0,47.2,0.0,0.0,,1.0,True,,False
2,16,26,139.0,17.0,0.0,0.0,,1.0,True,,False
4,17,27,281.0,75.5,0.0,0.0,,1.0,True,,False
3,18,28,206.0,27.6,0.0,0.0,,1.0,True,,False
21,19,29,283.5,26.9,0.0,0.0,,1.0,True,,False
9,20,31,9.2,4.6,0.0,0.0,,1.0,True,,False
10,21,39,1104.0,250.0,0.0,0.0,,1.0,True,,False
