id,bType,vMag,zone,vAng,P,Q,name,pos,capacity,orient,points
1,BusType.SLACK,345.0,0,NaN,NaN,NaN,30,"[352, 176]",1,180,"[[352, 176]]"
2,BusType.SLACK,345.0,0,NaN,NaN,NaN,2,"[352, 256]",4,180,"[[352, 256], [336, 256], [320, 256], [304, 256]]"
3,BusType.SLACK,345.0,0,NaN,NaN,NaN,1,"[320, 320]",3,180,"[[320, 320], [304, 320], [288, 320]]"
4,BusType.SLACK,345.0,0,NaN,NaN,NaN,39,"[272, 384]",4,0,"[[272, 384], [288, 384], [304, 384], [320, 384]]"
5,BusType.SLACK,345.0,0,NaN,NaN,NaN,9,"[336, 480]",3,0,"[[336, 480], [352, 480], [368, 480]]"
6,BusType.SLACK,345.0,0,NaN,NaN,NaN,8,"[384, 432]",5,0,"[[384, 432], [400, 432], [416, 432], [432, 432], [448, 432]]"
7,BusType.SLACK,345.0,0,NaN,NaN,NaN,7,"[400, 384]",4,0,"[[400, 384], [416, 384], [432, 384], [448, 384]]"
8,BusType.SLACK,345.0,0,NaN,NaN,NaN,6,"[464, 352]",5,180,"[[464, 352], [448, 352], [432, 352], [416, 352], [400, 352]]"
9,BusType.SLACK,345.0,0,NaN,NaN,NaN,31,"[480, 464]",3,0,"[[480, 464], [496, 464], [512, 464]]"
10,BusType.SLACK,345.0,0,NaN,NaN,NaN,5,"[400, 320]",2,180,"[[400, 320], [384, 320]]"
11,BusType.SLACK,345.0,0,NaN,NaN,NaN,25,"[432, 176]",4,0,"[[432, 176], [448, 176], [464, 176], [480, 176]]"
12,BusType.SLACK,345.0,0,NaN,NaN,NaN,37,"[448, 112]",1,0,"[[448, 112]]"
13,BusType.SLACK,345.0,1,NaN,NaN,NaN,26,"[576, 176]",5,180,"[[576, 176], [560, 176], [544, 176], [528, 176], [512, 176]]"
14,BusType.SLACK,345.0,0,NaN,NaN,NaN,4,"[416, 272]",3,0,"[[416, 272], [432, 272], [448, 272]]"
15,BusType.SLACK,345.0,0,NaN,NaN,NaN,3,"[448, 224]",4,180,"[[448, 224], [432, 224], [416, 224], [400, 224]]"
16,BusType.SLACK,345.0,0,NaN,NaN,NaN,18,"[544, 256]",2,180,"[[544, 256], [528, 256]]"
17,BusType.SLACK,345.0,0,NaN,NaN,NaN,17,"[656, 256]",3,180,"[[656, 256], [640, 256], [624, 256]]"
18,BusType.SLACK,345.0,0,NaN,NaN,NaN,27,"[624, 208]",3,180,"[[624, 208], [608, 208], [592, 208]]"
19,BusType.SLACK,345.0,0,NaN,NaN,NaN,28,"[704, 160]",3,180,"[[704, 160], [688, 160], [672, 160]]"
20,BusType.SLACK,345.0,0,NaN,NaN,NaN,29,"[800, 160]",4,180,"[[800, 160], [784, 160], [768, 160], [752, 160]]"
21,BusType.SLACK,345.0,0,NaN,NaN,NaN,38,"[800, 48]",1,180,"[[800, 48]]"
22,BusType.SLACK,345.0,0,NaN,NaN,NaN,16,"[656, 304]",6,0,"[[656, 304], [672, 304], [688, 304], [704, 304], [720, 304], [736, 304]]"
23,BusType.SLACK,345.0,0,NaN,NaN,NaN,24,"[784, 240]",3,0,"[[784, 240], [800, 240], [816, 240]]"
24,BusType.SLACK,345.0,0,NaN,NaN,NaN,21,"[784, 368]",3,0,"[[784, 368], [800, 368], [816, 368]]"
25,BusType.SLACK,345.0,0,NaN,NaN,NaN,22,"[880, 368]",3,0,"[[880, 368], [896, 368], [912, 368]]"
26,BusType.SLACK,345.0,0,NaN,NaN,NaN,35,"[880, 288]",2,0,"[[880, 288], [896, 288]]"
27,BusType.SLACK,345.0,0,NaN,NaN,NaN,19,"[672, 400]",3,0,"[[672, 400], [688, 400], [704, 400]]"
28,BusType.SLACK,345.0,0,NaN,NaN,NaN,20,"[672, 480]",3,0,"[[672, 480], [688, 480], [704, 480]]"
29,BusType.SLACK,345.0,0,NaN,NaN,NaN,33,"[736, 480]",1,0,"[[736, 480]]"
30,BusType.SLACK,345.0,0,NaN,NaN,NaN,15,"[592, 352]",2,0,"[[592, 352], [608, 352]]"
31,BusType.SLACK,345.0,0,NaN,NaN,NaN,14,"[544, 400]",3,0,"[[544, 400], [560, 400], [576, 400]]"
32,BusType.SLACK,345.0,0,NaN,NaN,NaN,13,"[608, 480]",2,0,"[[608, 480], [624, 480]]"
33,BusType.SLACK,345.0,0,NaN,NaN,NaN,12,"[560, 544]",3,0,"[[560, 544], [576, 544], [592, 544]]"
34,BusType.SLACK,345.0,0,NaN,NaN,NaN,11,"[432, 544]",3,0,"[[432, 544], [448, 544], [464, 544]]"
35,BusType.SLACK,345.0,0,NaN,NaN,NaN,10,"[640, 544]",3,0,"[[640, 544], [656, 544], [672, 544]]"
36,BusType.SLACK,345.0,0,NaN,NaN,NaN,32,"[640, 624]",1,0,"[[640, 624]]"
37,BusType.SLACK,345.0,0,NaN,NaN,NaN,34,"[752, 560]",1,0,"[[752, 560]]"
38,BusType.SLACK,345.0,0,NaN,NaN,NaN,23,"[992, 304]",4,0,"[[992, 304], [1008, 304], [1024, 304], [1040, 304]]"
39,BusType.SLACK,345.0,0,NaN,NaN,NaN,36,"[992, 432]",1,0,"[[992, 432]]"
