name,bus1id,bus2id,R,X,len,c_nf_per_km,max_i_ka
1-2,3,2,4.165875,48.919275,1.0,1557.11767469449,1.00408742467761
1-39,3,4,1.19025,29.75625,1.0,1671.44447691552,1.67347904112935
2-3,15,2,1.547325,17.972775,1.0,573.194025950227,0.83673952056468
2-25,2,11,8.33175,10.23615,1.0,325.374524839554,0.83673952056468
3-4,15,14,1.547325,25.352325,1.0,493.41040958546,0.83673952056468
3-18,15,16,1.309275,15.830325,1.0,476.473105552716,0.83673952056468
4-5,14,10,0.9522,15.2352,1.0,299.077131736083,1.00408742467761
4-14,14,31,0.9522,15.354225,1.0,307.991502279632,0.83673952056468
5-6,10,8,0.23805,3.09465,1.0,96.7209203975111,2.00817484935522
6-7,8,7,0.71415,10.9503,1.0,251.830967855271,1.50613113701642
5-8,10,6,0.9522,13.3308,1.0,328.940273056973,1.50613113701642
6-7,8,7,0.71415,10.9503,1.0,251.830967855271,1.50613113701642
6-11,8,34,0.833175,9.76005,1.0,309.551517124753,0.80326993974209
7-8,7,6,0.4761,5.47515,1.0,173.830225599214,1.50613113701642
8-9,6,5,2.737575,43.206075,1.0,847.756638691549,1.50613113701642
9-39,5,4,1.19025,29.75625,1.0,2674.31116306482,1.50613113701642
10-11,35,34,0.4761,5.118075,1.0,162.464403156188,1.00408742467761
10-13,35,32,0.4761,5.118075,1.0,162.464403156188,1.00408742467761
13-14,32,31,1.071225,12.021525,1.0,383.986511163391,1.00408742467761
14-15,31,30,2.14245,25.828425,1.0,815.664904734771,1.00408742467761
15-16,30,22,1.071225,11.18835,1.0,381.089340736738,1.00408742467761
16-17,22,17,0.833175,10.593225,1.0,299.077131736083,1.00408742467761
16-19,22,27,1.9044,23.209875,1.0,677.492161309755,1.00408742467761
16-21,22,24,0.9522,16.068375,1.0,567.845403624098,1.00408742467761
16-24,22,23,0.357075,7.022475,1.0,151.54429924034,1.00408742467761
17-18,17,16,0.833175,9.76005,1.0,293.951368673542,1.00408742467761
17-27,17,18,1.547325,20.591325,1.0,716.715391701373,1.00408742467761
21-22,24,25,0.9522,16.6635,1.0,571.634011105106,1.50613113701642
22-23,25,38,0.71415,11.4264,1.0,411.398200584805,1.00408742467761
23-24,38,23,2.61855,41.65875,1.0,804.521941555335,1.00408742467761
23-36,38,39,0.595125,32.3748,1.0,0.0,1.50613113701642
25-26,11,13,3.8088,38.445075,1.0,1183.38268965618,1.00408742467761
26-27,13,18,1.66635,17.496675,1.0,533.97079555861,1.00408742467761
26-28,13,19,5.118075,56.41785,1.0,1738.74797451931,1.00408742467761
26-29,13,20,6.784425,74.390625,1.0,2293.22182232809,1.00408742467761
28-29,19,20,1.66635,17.972775,1.0,554.919566335951,1.00408742467761
