id,name,hvBus,lvBus,pos,orient,hands,sn_mva,vk_percent,vkr_percent,tap_step_percent
1,trafo,2,1,"[512, 224]",90,"[[512, 256], [512, 192]]",900.0,16.29,0.0,2.49999999999999
2,t6-31,8,9,"[768, 224]",-90,"[[768, 192], [768, 256]]",1800.0,45.0,0.0,7.00000000000001
5,t10-32,35,36,"[960, 512]",-90,"[[960, 480], [960, 544]]",900.0,18.0,0.0,7.0
6,t12-11,33,34,"[352, 448]",180,"[[384, 448], [320, 448]]",500.0,21.7647076709061,0.8,0.6
7,t12-13,33,32,"[352, 288]",90,"[[352, 320], [352, 256]]",500.0,21.7647076709061,0.8,0.6
8,t19-20,27,28,"[640, 288]",90,"[[640, 320], [640, 256]]",900.0,12.4359679960991,0.63,6.00000000000001
9,t19-33,27,29,"[736, 288]",90,"[[736, 320], [736, 256]]",900.0,12.7955187468113,0.63,7.00000000000001
10,t20-34,28,37,"[480, 448]",0,"[[448, 448], [512, 448]]",900.0,16.2202373595456,0.81,0.89999999999999
11,t22-35,25,26,"[864, 416]",-90,"[[864, 384], [864, 448]]",900.0,12.87,0.0,2.49999999999999
3,t25-37,11,12,"[608, 224]",-90,"[[608, 192], [608, 256]]",900.0,20.8869815914124,0.54,2.49999999999999
4,t29-38,20,21,"[832, 160]",90,"[[832, 192], [832, 128]]",1200.0,18.744599222176,0.96,2.49999999999999
